Minion; Name: Whisp; Mana: 0; Attack: 1; Health: 1
Minion; Name: Abusive Sergeant; Mana: 1; Attack: 2; Health: 1
Minion; Name: Scarlet Crusader; Mana: 2; Attack: 3; Health: 2
Minion; Name: Raging Worgen; Mana: 3; Attack: 3; Health: 4
Minion; Name: Cult Master; Mana: 4; Attack: 4; Health: 3
Minion; Name: Earthen Ring Farseer; Mana: 3; Attack: 3; Health: 3
Minion; Name: Mogu'shan Warden; Mana: 4; Attack: 1; Health: 7
Minion; Name: Angry Chicken; Mana: 1; Attack: 2; Health: 1
Minion; Name: Stranglethorn Tiger; Mana: 5; Attack: 5; Health: 5
Minion; Name: Fen Creeper; Mana: 5; Attack: 3; Health: 6
Minion; Name: Abomination; Mana: 5; Attack: 6; Health: 4
Minion; Name: King Mukla; Mana: 3; Attack: 4; Health: 4
Minion; Name: Faerie Dragon; Mana: 2; Attack: 3; Health: 2
Minion; Name: Sheildbearer; Mana: 1; Attack: 1; Health: 3
Minion; Name: Windfurry Harpy; Mana: 6; Attack: 7; Health: 4
Minion; Name: Ravenholdt Assassin; Mana: 7; Attack: 7; Health: 6
Minion; Name: Sea Giant; Mana: 8; Attack: 8; Health: 8
Minion; Name: Mura The Murlock; Mana: 5; Attack: 6; Health: 4
Minion; Name: Sun Walker; Mana: 7; Attack: 3; Health: 9
Minion; Name: Lorewalker Cho; Mana: 4; Attack: 2; Health: 6
Minion; Name: Hogger; Mana: 8; Attack: 10; Health: 4
Minion; Name: Xavius; Mana: 6; Attack: 7; Health: 5
Minion; Name: Faceless Manipulator; Mana: 5; Attack: 5; Health: 5
Minion; Name: Demolisher; Mana: 3; Attack: 4; Health: 2
Minion; Name: Doomsayer; Mana: 3; Attack: 1; Health: 5
Minion; Name: Murlock Warrior; Mana: 2; Attack: 3; Health: 1
Minion; Name: Empoeror Cobra; Mana: 2; Attack: 2; Health: 2
Minion; Name: Alexstrasza; Mana: 9; Attack: 9; Health: 9
Minion; Name: Ysera; Mana: 9; Attack: 5; Health: 14
Minion; Name: Death Wing; Mana: 10; Attack: 11; Health: 11
